2025-10-23 08:49:44,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Muito Relevante,Muito Relevante.1,Muito Relevante.2,Muito Relevante.3,Muito Relevante.4,Muito Relevante.5,Determinante.1,Determinante.2,Muito Relevante.6,Muito Relevante.7,Muito Relevante.8,Muito Relevante.9,Determinante.3,Muito Relevante.10,Muito Relevante.11,Muito Relevante.12,Determinante.4,Determinante.5,Determinante.6,Determinante.7,Muito Relevante.13,Determinante.8,Muito Relevante.14,Muito Relevante.15,Muito Relevante.16,Muito Relevante.17,Muito Relevante.18,Muito Relevante.19,Muito Relevante.20,Muito Relevante.21,Muito Relevante.22,Muito Relevante.23,Muito Relevante.24,Muito Relevante.25,Determinante.9,Determinante.10,Determinante.11,Determinante.12,Muito Relevante.26,Determinante.13,Determinante.14,Determinante.15,Determinante.16,Determinante.17,Determinante.18,Determinante.19,Determinante.20,Determinante.21,Determinante.22,Determinante.23,Determinante.24,Determinante.25,Determinante.26,Determinante.27,Determinante.28,Muito Relevante.27,Determinante.29,Determinante.30,Determinante.31,Determinante.32,Determinante.33,Determinante.34,Determinante.35,Determinante.36,Determinante.37,Determinante.38,Determinante.39,Determinante.40,Determinante.41,Unnamed: 75
2025-10-23 08:54:21,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Pouco Relevante,Indiferente,Irrelevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Indiferente,Indiferente,Determinante,Pouco Relevante,Irrelevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Indiferente,Irrelevante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Indiferente,Muito Relevante,Muito Relevante,Pouco Relevante,Determinante,Muito Relevante,Indiferente,Muito Relevante,Irrelevante,Determinante,Muito Relevante,Muito Relevante,Indiferente,Irrelevante,Pouco Relevante,Determinante,Determinante,Determinante,Muito Relevante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Pouco Relevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Indiferente,Muito Relevante,Pouco Relevante,"Falta de liberdade dos estudantes dentro da instituição, cada vez mais estamos sendo silenciados. ""O If vive de aparência."""
2025-10-23 09:23:24,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Indiferente,Determinante,Muito Relevante,Determinante,Determinante,Indiferente,Indiferente,Irrelevante,Determinante,Muito Relevante,Muito Relevante,Determinante,Indiferente,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Determinante,Indiferente,Indiferente,Indiferente,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,
2025-10-23 09:39:13,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Indiferente,Muito Relevante,Pouco Relevante,Muito Relevante,Indiferente,Muito Relevante,Determinante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Determinante,Muito Relevante,Muito Relevante,Pouco Relevante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Indiferente,Muito Relevante,Determinante,Irrelevante,Determinante,Pouco Relevante,Determinante,Determinante,Muito Relevante,Determinante,Pouco Relevante,Pouco Relevante,Determinante,Determinante,Indiferente,Determinante,Determinante,Determinante,Muito Relevante,Indiferente,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,
2025-10-23 11:02:29,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Pouco Relevante,Pouco Relevante,Muito Relevante,Indiferente,Determinante,Pouco Relevante,Pouco Relevante,Muito Relevante,Indiferente,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Irrelevante,Determinante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Irrelevante,Irrelevante,Pouco Relevante,Muito Relevante,Muito Relevante,Indiferente,Pouco Relevante,Determinante,Muito Relevante,Pouco Relevante,Pouco Relevante,Determinante,Pouco Relevante,Determinante,Pouco Relevante,Pouco Relevante,Determinante,Pouco Relevante,Muito Relevante,Irrelevante,Muito Relevante,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Determinante,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Determinante,Muito Relevante,Irrelevante,Indiferente,Indiferente,Indiferente,Irrelevante,Muito Relevante,
2025-10-23 11:12:35,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Pouco Relevante,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Determinante,Determinante,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Irrelevante,Indiferente,Indiferente,Indiferente,Pouco Relevante,Muito Relevante,Indiferente,Pouco Relevante,Muito Relevante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Indiferente,Irrelevante,Muito Relevante,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Muito Relevante,Determinante,Determinante,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Irrelevante,Muito Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,
2025-10-23 11:26:08,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Indiferente,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Indiferente,Muito Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Irrelevante,Indiferente,Indiferente,Indiferente,Indiferente,Pouco Relevante,Determinante,Determinante,Indiferente,Pouco Relevante,Muito Relevante,Muito Relevante,Irrelevante,Determinante,Indiferente,Muito Relevante,Irrelevante,Indiferente,Muito Relevante,Irrelevante,Irrelevante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Indiferente,Pouco Relevante,Irrelevante,Irrelevante,Muito Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Muito Relevante,Determinante,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,
2025-10-23 11:35:09,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Indiferente,Irrelevante,Pouco Relevante,Muito Relevante,Determinante,Pouco Relevante,Pouco Relevante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Muito Relevante,Irrelevante,Irrelevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Irrelevante,Muito Relevante,Determinante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Muito Relevante,Irrelevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Determinante,
2025-10-23 11:40:21,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,Indiferente,Muito Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Determinante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Determinante,Indiferente,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Determinante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,
2025-10-23 11:41:47,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Indiferente,Determinante,Indiferente,Determinante,Pouco Relevante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Muito Relevante,Determinante,Indiferente,Indiferente,Determinante,Determinante,Indiferente,Irrelevante,Irrelevante,Indiferente,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,
2025-10-23 11:42:11,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Pouco Relevante,Indiferente,Determinante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Muito Relevante,Determinante,Determinante,Irrelevante,Irrelevante,Irrelevante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Indiferente,Indiferente,Determinante,Determinante,Irrelevante,Irrelevante,Determinante,Determinante,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Determinante,Determinante,Pouco Relevante,Determinante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Irrelevante,Determinante,
